Input,Real_Phonemes,Reference,Prediction,WER,PER
SH IY | W IH L D | IH T | AW T | AA N | AH | K AA T |,SH IY | W IY L D | IH T | AW T | AA N | AH | K AA R T |,She wheeled it out on a cart.,She will do it out on a cot.,0.4285714286,0.08333333333
N OW | AY | D IH D AH N T | G OW | T UW | DH AH | S T AO R |,N OW | AY | D IH D AH N T | G OW | T UW | DH AH | S T AO R |,No I didn't go to the store.,No I didn't go to the store.,0,0
DH EY | W UH D | HH AE V | T UW | B IY | S AH P AO R T IH D | IH N | S AH M | W EY |,DH EY | W UH D | HH AE V | T UW | B IY | S AH P AO R T IH D | IH N | S AH M | W EY |,They would have to be supported in some way.,They would have to be supported in some way.,0,0
AY | G EH S | W IY | D OW N T | R IH L IY | Y UW Z | DH AE T | M EH N IY | T IH N | K AE N D Z |,AY | G EH S | W IY | D OW N T | R IH L IY | Y UW Z | DH AE T | M EH N IY | T IH N | K AE N Z |,I guess we don't really use that many tin cans.,I guess we don't really use that many tin cans.,0,0.0243902439
DH AH | SH R AH N | T AY V | W AA Z | F AA R | SH AO R T | AH V | P ER F IH K |,DH AH | S W AA N | D AY V | W AA Z | F AA R | SH AO R T | AH V | P ER F IH K T |,The swan dive was far short of perfect.,The run time was far short of perfect.,0.25,0.1428571429
DH EH R | W ER | N AH N | L AY F T | B AY | DH AH | Y IH R | T UW | TH AW Z EH D |,DH EH R | W ER | N AH N | L EH F T | B AY | DH AH | Y IH R | T UW | TH AW Z AH N D |,There were none left by the year two thousand.,There were none left by the year two thousand.,0,0.08333333333
D UW | Y UW | W AA N T | T UW | IY T | IH N S AY D | AO R | AW T S AY D |,D UW | Y UW | W AA N T | T UW | IY T | IH N S AY D | AO R | AW T S AY D |,Do you want to eat inside or outside?,Do you want to eat inside or outside?,0,0
M AH DH ER | T IY M | S IH S T AH M D | AH B AW N T | T K S AH Z |,M AH DH ER | T IY M | S IH S T AH M | AH M AW N T | T EH K S AH S |,mother team system amount texas.,Mother time systemd about taxes.,0.8,0.1379310345
DH AE T S | DH AH | OW N L IY | B AH L UW SH AH N | DH AE T S | P IY N | DH EH R |,DH AE T S | DH AH | OW N L IY | P AH L UW SH AH N | DH AE T S | B IH N | DH EH R |,That's the only pollution that's been there.,That's the only solution that's been there.,0.1428571429,0.08823529412
DH AH | F IH SH | T R EH S T AH D | AH N D | T ER N D | AA N | DH AH | B IH T | HH UH K |,DH AH | F IH SH | T W IH S T IH D | AH N D | T ER N D | AA N | DH AH | B EH N T | HH UH K |,The fish twisted and turned on the bent hook.,The fish trusted and turned on the big hook.,0.2222222222,0.1282051282
DH EH R Z | AO L W EY Z | AH | W EY | AW T | AH V | DH IH S |,DH EH R Z | AO L W EY Z | AH | W EY | AW T | AH V | DH IH S |,There's always a way out of this.,There's always a way out of this.,0,0
AY | W AA Z | TH R OW | TH R AW D | DH AE T | DH EY | V IH Z IH T IH T D | M IY |,AY | W AA Z | S OW | TH R IH L D | DH AE T | DH EY | V IH Z IH T IH D | M IY |,I was so thrilled that they visited me.,I was thrown through that they visited me.,0.25,0.1515151515
DH AH | JH UH R IY | K AE N AA T | CH EY N JH | DH IH S | F AE K T |,DH AH | JH UH R IY | K AE N AA T | CH EY N JH | DH IH S | F AE K T |,The jury cannot change this fact.,The jury cannot change this fact.,0,0
AY M | D UW IH NG | T UW | G OW | T UW | DH AH | K AH N JH ER IY | S T AO R |,AY M | G OW IH NG | T UW | G OW | T UW | DH AH | G R OW S ER IY | S T AO R |,I'm going to go to the grocery store.,I'm doing to go to the conference store.,0.25,0.1875
W IY | SH UH D | AE T | L IY S T | D R AY | DH IH S | AW T |,W IY | SH UH D | AE T | L IY S T | T R AY | DH IH S | AW T |,We should at least try this out.,We should at least try this out.,0,0.03846153846
HH IY | K EY M | B AY | L UH K IH NG | F AO R | Y UW |,HH IY | K EY M | B AY | L UH K IH NG | F AO R | Y UW |,He came by looking for you.,He came by looking for you.,0,0
DH EY | G EY | V ER AY K T IY | AH V | B EH N AH F IH K T S | T UW | DH EH R | EH M P L OY AH N Z |,DH EY | G EY V | V ER AY AH T IY | AH V | B EH N AH F IH T S | T UW | DH EH R | EH M P L OY IY Z |,They gave variety of benefits to their employees.,They give variety of benefits to their employees.,0.125,0.1219512195
AY | W AA N T | DH EH M | T UW | K AH M | B AE | AH P | D EH S | Y IH R |,AY | W AA N T | DH EH M | T UW | K AH M | B AE K | AH P | N EH K S T | Y IH R |,I want them to come back up next year.,I want them to come back up next year.,0,0.1142857143
DH AH | K OW K T | R EH D | AH N D | TH R IY | DH AH | T AO L | R EY D ER |,DH AH | K OW L T | R IH R D | AH N D | TH R UW | DH AH | T AO L | R AY D ER |,The colt reared and threw the tall rider.,The coat was red and three of the tailors.,0.875,0.1515151515
SH IY | K EY M | L EH S T | JH UW N | AH N D | W AA CH T | AH | G EY F | IH N | DH AH | S AY | T AH M |,SH IY | K EY M | L AE S T | JH UW N | AH N D | W AA CH T | AH | G EY M | IH N | DH AH | S K AY | D OW M |,She came last June and watched a game in the sky dome.,She came last June and watched a game in the same town.,0.1666666667,0.1111111111
DH EH R | W IH | B IY | B AO R | L AY N | S AH M W ER | ER AW N D | HH IY R |,DH EH R | W IH L | B IY | M AO R | L AY T | S AH M W EH R | ER AW N D | HH IY R |,There will be more light somewhere around here.,There will be more lines somewhere around here.,0.125,0.1428571429
AY | L AH V | T UW | W AA CH | K AA N T UW Z | AA N | S IH T ER D T IY | M AO R N IH NG |,AY | L AH V | T UW | W AA CH | K AA R T UW N Z | AA N | S AE T ER D IY | M AO R N IH NG |,I love to watch cartoons on Saturday morning.,I love to watch cartoons on Saturday morning.,0,0.1052631579
L AO R JH | W AA Z | L AY K | TH ER T IY N | D AE ER Z | AO R | S AH M TH IH NG |,L AH N CH | W AA Z | L AY K | TH ER T IY N | D AA L ER Z | AO R | S AH M TH IH NG |,Lunch was like thirteen dollars or something.,Laura was like thirteen years or something.,0.2857142857,0.1428571429
B AH T | DH EH R | L AE N IH NG | AA AH N D | D UW IH NG | IH T | V EH R IY | S UW N |,B AH T | DH EH R | P L AE N IH NG | AA N | D UW IH NG | IH T | V EH R IY | S UW N |,But they're planning on doing it very soon.,But they're learning and doing it very soon.,0.25,0.08571428571
AH | G UH D | AH M P IH R IY AH N S | T UW | D UW | AH | G UH D | JH AA M | W EH R | Y UW | W ER K |,AH | G UH D | AH P IH R AH N S | T UW | D UW | AH | G UH D | JH AA B | W EH R | Y UW | W ER K |,A good appearance to do a good job where you work.,A good experience to do a good job where you work.,0.09090909091,0.07317073171
IH N | AH DH ER | W ER D Z | DH EH R | IH Z | AH | CH OY S | T UW | M EY K |,IH N | AH DH ER | W ER D Z | DH EH R | IH Z | AH | CH OY S | T UW | M EY K |,"In other words, there is a choice to make.","In other words, there is a choice to make.",0,0
G OW | T AO K | T UW | HH ER | IH N | DH AH | L AY M IY | AY L | B IY | R AY T | D AW N |,G OW | T AO K | T UW | HH ER | IH N | DH AH | L AA B IY | AY L | B IY | R AY T | D AW N |,"Go talk to her in the lobby, I'll be right down!","Go talk to her in the library, I'll be right down.",0.09090909091,0.05263157895
D UW | Y UW | G OW | B AY | DH AH | AE S T | W EH N | Y UW | L UH K | AE T | DH EH M |,D UW | Y UW | G OW | B AY | DH AH | AE D Z | W EH N | Y UW | L UH K | AE T | DH EH M |,Do you go by the ads when you look at them?,Do you go by the last when you look at them?,0.09090909091,0.05405405405
AY | HH AE V | T UW | G UW | ER R AW ZH | DH AH | S IH T IY | T UW | S IY | HH ER |,AY | HH AE V | T UW | G OW | AH K R AO S | DH AH | S IH T IY | T UW | S IY | HH ER |,I have to go across the city to see her.,I have to go around the city to see her.,0.1,0.1428571429
S OW | TH IH NG K | Y UW | F AO R | N AA T | S Y UW Z IH NG | DH AH | EH K S P L OY T |,S OW | TH AE NG K | Y UW | F AO R | N AA T | Y UW Z IH NG | DH AH | EH K S P L OY T |,So thank you for not using the exploit.,"So, think you for not using the exploit.",0.125,0.05555555556
DH EH R | AO L W EY Z | R IH L IH IY | T UW | HH EH L P | Y UW | AW T |,DH EH R | AO L W EY Z | W IH L IH NG | T UW | HH EH L P | Y UW | AW T |,They're always willing to help you out.,They're always really to help you out.,0.1428571429,0.06666666667
P L IY Z | DH AE T S | IH N AH F | M Y UW Z IH K | F AO R | T AH D EY |,P L IY Z | DH AE T S | IH N AH F | M Y UW Z IH K | F AO R | T AH D EY |,"Please, that's enough music for today.","Please, that's enough music for today.",0,0
L Y AH G ZH ER L IY | K L OW DH Z | DH IY Z | D EY Z | AA R | K W AY T | IH K S P N S IH V |,L AH G ZH ER IY | K L OW DH Z | DH IY Z | D EY Z | AA R | K W AY T | IH K S P EH N S IH V |,Luxury clothes these days are quite expensive.,Luxurious clothes these days are quite expensive.,0.1428571429,0.07692307692
T EH L | M IY | Y AO R | EH JH AH K EY SH AH N | S T AO R IY |,T EH L | M IY | Y AO R | EH JH AH K EY SH AH N | S T AO R IY |,Tell me your education story.,Tell me your education story.,0,0
IH T S | AE K CH UW AH L IY | JH AH S T | T W EH L V | Y IH R Z | OW L D |,IH T S | AE K CH UW AH L IY | JH AH S T | T W EH L V | Y IH R Z | OW L D |,It's actually just twelve years old.,It's actually just twelve years old.,0,0
HH IY | HH AE D | B IH N | IH N | DH AE T | P AH S IH SH AH N | F AO R | Y IH R Z |,HH IY | HH AE D | B IH N | IH N | DH AE T | P AH Z IH SH AH N | F AO R | Y IH R Z |,He had been in that position for years.,He had been in that position for years.,0,0.02857142857
K AH M IH NG | S AH N | Y AO R | F EY V ER IY | F UW D |,K AH M IH NG | S AH N | Y AO R K | F EY V ER IH T | F UW D |,coming sun york favorite food.,Coming soon your favourite food.,0.6,0.1153846154
DH EY | W IH L | V AE N AE SH AH L IY | R IH K AE M AH | F R AH M | DH AH | N OW N |,DH EY | W IH L | F AH N AE N SH AH L IY | R IH K AH V ER | F R AH M | DH AH | L OW N |,They will financially recover from the loan.,They will vanishingly rarely come from the known.,0.5714285714,0.1944444444
DH EY | D OW N T | K IY L | DH AH | AE N AH F ER S |,DH EY | D OW N T | K IH L | DH AH | AE N AH M AH L Z |,They don't kill the animals.,They don't kill the animals.,0,0.2173913043
DH EH R | W UH D | B IY | N OW | W EY | T UW | D UW | IH T |,DH EH R | W UH D | B IY | N OW | W EY | T UW | D UW | IH T |,There would be no way to do it.,There would be no way to do it.,0,0
AY V | G EY T | AH | D UW | Y IH | HH OW N D | AH N D | AH | F AA R | Y IH R | AW D |,AY V | G AA T | AH | T UW | Y IH R | OW L D | AH N D | AH | F AO R | Y IH R | OW L D |,I've got a two year old and a four year old.,I've got a few year old and a far year old.,0.1818181818,0.2105263158
DH EY | B IH T | IH N | AW T | IH N | AH | V IY D IY AH OW |,DH EY | P UH T | IH T | AW T | IH N | AH | V IH D IY OW |,They put it out in a video.,They bit in and out in a video.,0.4285714286,0.2083333333
Y UW | K AE N | S IY | DH AH | K UH D | AE T | DH IH S | P OY N T | AE Z | W EH L |,Y UW | K AE N | S IY | DH AH | K OW D | AE T | DH IH S | P OY N T | AE Z | W EH L |,You can see the code at this point as well.,You can see the good at this point as well.,0.1,0.02777777778
AY | G AA T | IH T | R AY T | AE F T ER | HH AY | S K UW L |,AY | G AA T | IH T | R AY T | AE F T ER | HH AY | S K UW L |,I got it right after high school.,I got it right after high school.,0,0
W IH CH | B UH K | AA R | Y UW | R EH T IH NG | T UW | CH IH L D R AH N |,W IH CH | B UH K | AA R | Y UW | R EH D IH NG | T UW | CH IH L D R AH N |,Which book are you reading to children?,Which book are you reading to children?,0,0.03225806452
AH N D | S OW | W IY | Y UW ZH AH W AH L IY | S EH T | AW T S AY D |,AH N D | S OW | W IY | Y UW ZH AH W AH L IY | S IH T | AW T S AY D |,And so we usually sit outside.,And so we usually set outside.,0.1666666667,0.03448275862
Y UW | P R AA B AH B L IY | W AO R N T AH N D | W EH K AH ER S L AY Z | M IY |,Y UW | P R AA B AH B L IY | W UH D AH N T | R EH K AH G N AY Z | M IY |,You probably wouldn't recognize me.,You probably wouldn't like me.,0.2,0.2903225806
DH AE T S | S T IH L | N AA T | IH N EH S | F AO R | AH | T IH T AH L |,DH AE T S | S T IH L | N AA T | IH N AH F | F AO R | AH | T OW T AH L |,That's still not enough for a total.,That's still not enough for a title.,0.1428571429,0.09677419355
W IY | AH P AA L AH JH T AY Z | B AH T | DH IH S | V IH D IY | HH AE Z | F EH L D | T UW | L OW D |,W IY | AH P AA L AH JH AY Z | B AH T | DH IH S | V IH D IY OW | HH AE Z | F EY L D | T UW | L OW D |,"We apologize, but this video has failed to load.","We appreciate it, but this video has fallen to low.",0.4444444444,0.07142857143
M AH S AY | M IY T IH NG | K OW S T | M EY M T L IY |,B AA N S AY | M IY T IH NG | G OW S T | M EY N L IY |,bonsai meeting ghost mainly,My meeting costs mainly.,0.5,0.2608695652
D UW | Y UW | S T IH L | K EH R | AH B AW T | Y AO R | T R AA B |,D UW | Y UW | S T IH L | K EH R | AH B AW T | Y AO R | JH AA B |,Do you still care about your job?,Do you still care about your job?,0,0.07142857143
W IH L | Y UW | B IY | ER AW N D | N EH K S T | W IY K |,W IH L | Y UW | B IY | ER AW N D | N EH K S T | W IY K |,Will you be around next week?,Will you be around next week?,0,0
D UW | Y UW | HH AE V | Y AO R | K R EH D AH T | K AA R D |,D UW | Y UW | HH AE V | Y AO R | K R EH D AH T | K AA R D |,Do you have your credit card?,Do you have your credit card?,0,0
DH AH | F UH L | D IH S IH ZH AH N | S T AE N B IH K | IH Z | F IH L AH B AH L | HH IY R |,DH AH | F UH L | D IH S IH ZH AH N | S T EY T M AH N T | IH Z | AH V EY L AH B AH L | HH IY R |,The full decision statement is available here.,The full decision stand by is filed here.,0.4285714286,0.225
HH AW | F AO R | D UW | W IY | HH AE V | T UW | G OW |,HH AW | F AA R | D UW | W IY | HH AE V | T UW | G OW |,How far do we have to go.,How far do we have to go?,0,0.04347826087
W AA Z AH N | AH L AW K T | T UW | R AY D | AH | L AA T | M AO R AH |,W AA Z AH N T | AH L AW D | T UW | R AH N | AH | L AO N | M OW ER |,Wasn't allowed to run a lawn mower.,Wasn't allowed to ride a lot more.,0.4285714286,0.3448275862
AY | D OW N T | TH IH NG K | AY | W UH D N | HH AE V | IH N T R ER EH N S |,AY | D OW N T | TH IH NG K | AY | W UH D | HH AE V | IH N SH UH R AH N S |,I don't think I would have insurance.,I don't think I would have interest.,0.1428571429,0.1612903226
TH IH NG Z | AH V | DH AE T | N EY CH ER | W EY SH | M EY D | AH S | F IY L | G UH D |,TH IH NG Z | AH V | DH AE T | N EY CH ER | W IH CH | M EY D | AH S | F IY L | G UH D |,Things of that nature which made us feel good.,Things of that nature will make us feel good.,0.2222222222,0.05555555556
AH B AW T | DH AH | S EY M | AY | T R EH SH S | F AO R | S K UW L |,AH B AW T | DH AH | S EY M | AY | D R EH S | F AO R | S K UW L |,About the same I dress for school.,About the same I guess for school.,0.1428571429,0.07142857143
AY | N OW | W IY V | HH AE D | DH IH S | W AH N | L EY T IY | DH AE T | W AA Z | AH T AW N K T |,AY | N OW | W IY V | HH AE D | DH IH S | W AH N | L EY D IY | DH AE T | W AA Z | AH T AE K T |,I know we've had this one lady that was attacked.,I know we've had this one lately that was turned in.,0.3,0.075
Y UW | D OW N T | W AA T | T UW | AA R | Y UW | D OW N T | HH AE V | DH AH | T AY M |,Y UW | D OW N T | W AA N T | T UW | AO R | Y UW | D OW N T | HH AE V | DH AH | T AY M |,You don't want to or you don't have the time?,"You don't want to, you don't have the time.",0.1,0.05263157895
DH AE T S | W AH T | AY | W AA Z | AH B AW T | T UW | S EY |,DH AE T S | W AH T | AY | W AA Z | AH B AW T | T UW | S EY |,That's what I was about to say.,That's what I was about to say.,0,0
SH IY | HH AE Z | HH AE D | R IH L IY | G UH D | L AY K | DH IH S | Y IH R |,SH IY | HH AE Z | HH AE D | R IH L IY | G UH D | L AH K | DH IH S | Y IH R |,She has had really good luck this year.,She has had really good luck this year.,0,0.03125
P L IY Z | AO R D ER | AW ER | R EH G Y N L ER | F UW D | F AO R | EH V R IY W AH N |,P L IY Z | AO R D ER | AW ER | R EH G Y AH L ER | F UW D | F AO R | EH V R IY W AH N |,Please order our regular food for everyone.,Please order our regular food for everyone.,0,0.02702702703
AH | K AH P | AH V | S IH T ER | M IH EY K S | S W IY K | F IH N JH |,AH | K AH P | AH V | SH UH G ER | M EY K S | S W IY T | F AH JH |,A cup of sugar makes sweet fudge.,A couple of cities make this week finish.,0.8571428571,0.25
HH IH Z | G UH D | L AH K | W IH L | HH EH L P | HH IH M | AH V OY D | P R AA B L AH M Z |,HH IH Z | G UH D | L AH K | W IH L | HH EH L P | HH IH M | AH V OY D | P R AA B L AH M Z |,His good luck will help him avoid problems.,His good luck will help him avoid problems.,0,0
HH AW | M EH N IY | M AY L Z | W ER | Y UW | D R AY V IH NG | T AH D EY |,HH AW | M EH N IY | M AY L Z | W ER | Y UW | D R AY V IH NG | T AH D EY |,How many miles were you driving today?,How many miles were you driving today?,0,0
B IH K AO Z | AH V | AH | S ER V AH N | DH AE T | DH EY | K UH D | R IH AY N T IY |,B IH K AO Z | AH V | AH | S ER V AH S | DH AE T | DH EY | K UH D | P R AH V AY D |,Because of a service that they could provide.,Because of a service that they could render.,0.125,0.2
IH T S | JH AH S T | AH | M AE T ER | AH V | P AE S IH NG | DH AH | L AO |,IH T S | JH AH S T | AH | M AE T ER | AH V | P AE S IH NG | DH AH | L AO |,It's just a matter of passing the law.,It's just a matter of passing the law.,0,0
AH V | K AO R S | DH EY | EY T | AH | L AA T | AH V | S IY | F UW N |,AH V | K AO R S | DH EY | EY T | AH | L AA T | AH V | S IY | F UW D |,Of course they ate a lot of sea food.,Of course they eat a lot of sea food.,0.1111111111,0.03333333333
W IY | S IY | DH EH M | AE T | L IY S T | W AH N S | AH | W IY K |,W IY | S IY | DH EH M | AE T | L IY S T | W AH N S | AH | W IY K |,We see them at least once a week.,We see them at least once a week.,0,0
DH EH R | IH Z | S AH M | T EH F AH N AH T | S N AA R K | IH N | HH ER | R IY P AO R |,DH EH R | IH Z | S AH M | D EH F AH N AH T | S N AA R K | IH N | HH ER | R IY P AO R T |,There is some definite snark in her report.,There is some telephone talk in her report.,0.25,0.05263157895
DH AH | IH M Y UW N | S IH S T AH M | K AE N | S L OW | T AW N | AE T | F ER S T |,DH AH | IH M Y UW N | S IH S T AH M | K AE N | S L OW | D AW N | AE T | F ER S T |,The immune system can slow down at first.,The immune system can slow down at first.,0,0.02777777778
